,name,Persons,Males,Females
4785,Chapra ,22852,15710,7142
4814,Hajipur ,16319,11371,4948
4843,Begusarai ,24616,16492,8124
4872,Bhagalpur ,49656,33692,15964
4901,Munger ,19988,13825,6163
4930,Jamalpur ,10638,7165,3473
4959,Biharsharif ,28092,20487,7605
4988,Dinapur Nizamat ,19777,13707,6070
5017,Patna ,307603,199207,108396
5046,Arrah ,35354,25045,10309
5075,Buxar ,12464,8920,3544
5104,Sasaram ,18844,13181,5663
5133,Dehri ,14780,10297,4483
5162,Aurangabad ,13141,9371,3770
5191,Gaya ,56679,38831,17848
5220,Jehanabad ,8901,6620,2281
5249,Gangtok ,13089,7323,5766
5278,Dimapur ,12902,7442,5460
5307,Imphal ,63915,33950,29965
5336,Aizawl ,26832,14900,11932
5365,Agartala ,52711,30215,22496
5394,Shillong ,25113,12466,12647
5423,Nagaon ,15273,8798,6475
5452,Tinsukia ,12283,7357,4926
5481,Dibrugarh ,20878,12225,8653
5510,Jorhat ,19793,11181,8612
5539,Silchar ,22274,12716,9558
5568,Guwahati ,184065,107093,76972
5597,Dabgram ,2532,1703,829
5626,Bally ,12354,7562,4792
5655,Darjiling ,16319,8829,7490
5684,Siliguri ,65003,38470,26533
5713,Jalpaiguri ,20252,11543,8709
5742,Raiganj ,16788,10419,6369
5771,Balurghat ,23732,14538,9194
5800,English Bazar ,28983,17393,11590
5829,Baharampur ,32154,19679,12475
5858,Kulti ,19371,12890,6481
5887,Asansol ,65625,40231,25394
5916,Jamuria ,5436,3961,1475
5945,Raniganj ,9719,6225,3494
5974,Durgapur ,80060,47809,32251
6003,Barddhaman ,52387,32325,20062
6032,Nabadwip ,10083,6492,3591
6061,Krishnanagar ,21326,12541,8785
6090,Santipur ,7213,4725,2488
6119,Kalyani ,17457,9775,7682
6148,Bongaon ,10286,6684,3602
6177,Halisahar ,10802,6680,4122
6206,Kanchrapara ,13808,8265,5543
6235,Naihati ,23181,13877,9304
6264,Bhatpara ,29055,18147,10908
6293,Habra ,13824,8682,5142
6322,Ashoknagar Kalyangarh ,11992,7093,4899
6351,North Barrackpur ,23047,13155,9892
6380,Barrackpur ,29910,17514,12396
6409,Titagarh ,5643,3898,1745
6438,Khardaha ,21522,12228,9294
6467,Panihati ,58667,34203,24464
6496,Barasat ,45516,27143,18373
6525,Madhyamgram ,27584,16352,11232
6554,North Dum Dum ,40842,24007,16835
6583,Kamarhati ,50367,29437,20930
6612,Baranagar ,49711,28274,21437
6641,Dum Dum ,25287,14288,10999
6670,South Dum Dum ,102942,57940,45002
6699,Rajarhat Gopalpur ,73182,42023,31159
6728,Bidhan Nagar ,65863,35756,30107
6757,Basirhat ,20037,12083,7954
6786,Bansberia ,8566,5264,3302
6815,Hugli-Chinsurah ,31236,17939,13297
6844,Chandannagar ,30933,17942,12991
6873,Bhadreswar ,9225,5743,3482
6902,Champdani ,7167,4654,2513
6931,Baidyabati ,17224,10311,6913
6960,Serampore ,30060,17706,12354
6989,Rishra ,14585,9452,5133
7018,Uttarpara Kotrung ,35773,20981,14792
7047,Bankura ,19082,12321,6761
7076,Puruliya ,14793,9581,5212
7105,Bally ,36100,22170,13930
7134,Haora ,151490,91001,60489
7163,Uluberia ,11384,7234,4150
7192,Kolkata ,818476,461615,356861
7221,Maheshtala ,33247,19939,13308
7250,Rajpur Sonarpur ,68707,40399,28308
7279,Medinipur ,28498,17243,11255
7308,Kharagpur ,24881,14511,10370
7337,Haldia ,17487,10784,6703
7366,Bokaro Steel City ,61034,39496,21538
7395,Giridih ,15112,10138,4974
7424,Deoghar  ,27126,19215,7911
7453,Dhanbad ,104768,69321,35447
7482,Chas ,15277,10431,4846
7511,Mango ,28682,17145,11537
7540,Jamshedpur ,110962,64276,46686
7569,Hazaribag ,28889,18311,10578
7598,Ranchi ,200849,120922,79927
7627,Adityapur ,19225,12189,7036
7656,Sambalpur ,26095,16194,9901
7685,Raurkela Town ,38314,22541,15773
7714,Raurkela Industrial Township ,22887,12544,10343
7743, Baripada Town ,17589,10953,6636
7772,Baleshwar Town ,23170,14071,9099
7801,Bhadrak ,13311,8191,5120
7830,Cuttack ,110147,66347,43800
7859,Bhubaneswar Town ,200788,121563,79225
7888,Puri ,27062,16978,10084
7917,Brahmapur ,50782,32587,18195
7946,Ambikapur ,20857,12369,8488
7975,Raigarh ,20161,12214,7947
8004,Korba ,38726,23427,15299
8033,Bilaspur ,67396,38607,28789
8062,Rajnandgaon ,19640,11324,8316
8091,Bhilai Nagar ,81620,43751,37869
8120,Durg ,38428,21409,17019
8149,Raipur ,147194,84384,62810
8178,Dhamtari ,10305,6179,4126
8207,Jagdalpur ,16223,9289,6934
8236,Morena ,21351,14504,6847
8265,Bhind ,20470,13748,6722
8294,Gwalior ,169264,100039,69225
8323,Datia ,12717,7960,4757
8352,Shivpuri ,22320,13796,8524
8381,Chhatarpur ,20807,12484,8323
8410,Sagar ,39717,23428,16289
8439,Damoh ,16544,9740,6804
8468,Satna ,37695,23396,14299
8497,Rewa ,41109,25406,15703
8526,Neemuch ,16428,9669,6759
8555,Mandsaur ,18225,10920,7305
8584,Ratlam ,36589,20861,15728
8613,Nagda ,9844,5707,4137
8642,Ujjain ,72743,41616,31127
8671,Dewas ,29848,17581,12267
8700,Pithampur ,5150,3657,1493
8729,Indore ,313525,174270,139255
8758,Khargone ,12584,7745,4839
8787,Vidisha ,22023,13177,8846
8816,Bhopal ,282813,155418,127395
8845,Sehore ,13887,8074,5813
8874,Betul ,17125,9918,7207
8903,Hoshangabad ,18980,11072,7908
8932,Murwara ,27011,15456,11555
8961,Jabalpur ,169711,92225,77486
8990,Chhindwara ,28233,16058,12175
9019,Seoni ,16335,9574,6761
9048,Guna ,22104,13416,8688
9077,Singrauli ,18047,11646,6401
9106,Khandwa ,24431,13708,10723
9135,Burhanpur ,15203,9325,5878
9164,Bhuj ,16457,9536,6921
9193,Gandhidham ,24431,14049,10382
9222,Palanpur ,15127,9802,5325
9251,Deesa ,5933,3946,1987
9280,Patan ,13430,8422,5008
9309,Mahesana ,27191,16287,10904
9338,Kalol ,14208,8671,5537
9367,Gandhinagar ,52343,31129,21214
9396,Ahmadabad ,769858,435267,334591
9425,Surendranagar Dudhrej ,17558,10540,7018
9454,Morvi ,15195,8441,6754
9483,Rajkot ,148048,78946,69102
9512,Gondal ,10557,6003,4554
9541,Jetpur Navagadh ,8846,4677,4169
9570,Jamnagar ,52049,29513,22536
9599,Porbandar ,9853,5671,4182
9628,Junagadh ,36910,20964,15946
9657,Veraval ,10089,6246,3843
9686,Amreli ,11305,6579,4726
9715,Botad ,4578,2997,1581
9744,Bhavnagar ,51875,30315,21560
9773,Anand ,29803,17331,12472
9802,Nadiad ,27432,16224,11208
9831,Godhra ,12053,7571,4482
9860,Dohad ,10491,6076,4415
9889,Vadodara ,279959,153236,126723
9918,Bharuch ,14059,8210,5849
9947,Navsari ,17425,9219,8206
9976,Valsad ,18980,10382,8598
10005,Vapi ,16169,9549,6620
10034,Surat ,278795,160566,118229
10063,Navi Mumbai Panvel Raigarh ,22631,13561,9070
10092,Nandurbar ,11451,7441,4010
10121,Dhule ,38164,23320,14844
10150,Bhusawal ,19815,11257,8558
10179,Jalgaon ,55315,33154,22161
10208,Akola ,49715,28812,20903
10237,Achalpur ,8863,5269,3594
10266,Amravati ,91996,51456,40540
10295,Wardha ,19363,10645,8718
10324,Hinganghat ,11256,6684,4572
10353,Nagpur ,382282,201349,180933
10382,Gondiya ,18563,10175,8388
10411,Chandrapur ,37686,21317,16369
10440,Yavatmal ,13511,7397,6114
10469,Nanded Waghala ,57736,38146,19590
10498,Parbhani ,30035,19600,10435
10527,Jalna ,23959,15360,8599
10556,Aurangabad ,159308,96576,62732
10585,Malegaon ,22830,13345,9485
10614,Nashik ,204014,116855,87159
10643,Vasai-Virar City ,129954,70016,59938
10672,Mira Bhayandar ,118506,65979,52527
10701,Thane ,241148,129214,111934
10730,Navi Mumbai ,192624,107448,85176
10759,Bhiwandi ,24688,14404,10284
10788,Kalyan Dombivali ,215051,116615,98436
10817,Ulhasnagar ,43561,23087,20474
10846,Badlapur ,25115,13878,11237
10875,Ambarnath ,26596,14444,12152
10904,Greater Mumbai ,1802371,964964,837407
10933,Panvel ,39613,20964,18649
10962,Pimpri Chinchwad ,249581,141573,108008
10991,Pune ,656508,349022,307486
11020,Ahmadnagar ,51661,29832,21829
11049,Bid ,19030,12252,6778
11078,Latur ,42355,27669,14686
11107,Udgir ,9924,6900,3024
11136,Osmanabad ,14303,9459,4844
11165,Barshi ,13351,8564,4787
11194,Solapur ,88638,54159,34479
11223,Satara ,22292,12269,10023
11252,Ichalkaranji ,22644,13707,8937
11281,Kolhapur ,92443,52599,39844
11310,Sangli-Miraj Kupwad ,60752,34112,26640
11339,Adilabad ,10565,6797,3768
11368,Nizamabad ,34574,22062,12512
11397,Ramagundam ,27209,17266,9943
11426,Jagtial ,11705,7786,3919
11455,Karimnagar ,52034,33192,18842
11484,GHMC ,1164149,685402,478747
11513,Secunderabad ,42492,23836,18656
11542,Mahbubnagar ,30286,18972,11314
11571,Suryapet ,14203,9485,4718
11600,Nalgonda ,26575,16916,9659
11629,Miryalaguda ,13377,8688,4689
11658,Warangal ,109613,69507,40106
11687,Khammam ,29400,18405,10995
11716,Srikakulam ,21745,14125,7620
11745,Vizianagaram ,30656,19173,11483
11774,GVMC,250549,148824,101725
11803,Rajahmundry ,53604,32901,20703
11832,Kakinada ,47823,29439,18384
11861,Tadepalligudem ,11527,7258,4269
11890,Eluru ,23523,14252,9271
11919,Bhimavaram ,18298,11541,6757
11948,Vijayawada ,135425,81146,54279
11977,Gudivada ,12523,7411,5112
12006,Machilipatnam ,19872,11957,7915
12035,Mangalagiri ,8091,5111,2980
12064,Narasaraopet ,13872,8984,4888
12093,Chilakaluripet ,9526,6302,3224
12122,Guntur ,94432,58194,36238
12151,Tenali ,22433,13780,8653
12180,Ongole ,32491,20610,11881
12209,Nellore ,67787,42377,25410
12238,Proddatur ,18151,11844,6307
12267,Kadapa ,41997,27337,14660
12296,Kurnool ,60589,37618,22971
12325,Adoni ,11902,7871,4031
12354,Nandyal ,22411,14540,7871
12383,Guntakal ,11626,7398,4228
12412,Tadpatri ,8618,5762,2856
12441,Anantapur ,43700,27392,16308
12470,Dharmavaram ,7560,5236,2324
12499,Hindupur ,11050,6926,4124
12528,Tirupati ,55454,34588,20866
12557,Madanapalle ,16385,10050,6335
12586,Chittoor ,21345,12973,8372
12615,Belgaum ,64200,37682,26518
12644,Bagalkot ,14090,9038,5052
12673,Bijapur ,37265,24355,12910
12702,Bidar ,25910,16824,9086
12731,Raichur ,22445,14425,8020
12760,Gangawati ,6927,4549,2378
12789,Gadag-Betigeri ,15926,9941,5985
12818,Hubli-Dharwad ,113864,67478,46386
12847,Ranibennur ,9747,6122,3625
12876,Hospet ,17556,10567,6989
12905,Bellary ,36855,23011,13844
12934,Chitradurga ,16857,10213,6644
12963,Davanagere ,40740,24921,15819
12992,Shimoga ,37463,21835,15628
13021,Bhadravati ,12406,7066,5340
13050,Udupi ,22444,11795,10649
13079,Chikmagalur ,13204,7441,5763
13108,Tumkur ,42163,25617,16546
13137,BBMP ,1591163,908363,682800
13166,Mandya ,16203,9858,6345
13195,Hassan ,21042,11784,9258
13224,Mangalore ,78097,39002,39095
13253,Mysore ,149306,85019,64287
13282,Gulbarga ,65039,40331,24708
13311,Kolar ,11508,7007,4501
13340,Robertson Pet ,13400,7030,6370
13369,Kanhangad ,8333,3845,4488
13398,Kozhikode ,61225,27701,33524
13427,Malappuram ,5577,3044,2533
