ACADEMIC_YEAR,CURRENT_APPLICATION_NUMBER,CURRENT_INSTITUTE_NAME,CURRENT_INSTITUTE_ADDRESS,PROGRAMME,LEVEL_CATEGORY,INSTI_REGION,INSTI_STATE,INSTITUTE_DISTRICT,INSTI_CITY,INST_TYPE,WOMEN_INST_FLAG,MINORITY_FLAG,sno
2012-2013,1-693686321,LAXMI DEVI INSTITUTE OF MANAGEMENT AND TECHNOLOGY,"TIJARA ROAD, VILLAGE CHIRKHANA",MANAGEMENT,PG,North-West,Rajasthan,ALWAR,ALWAR,Unaided - Private,N,"N",1
2012-2013,1-803351172,VIVEKAVARDHANI INSTITUTE OF MANAGEMENT,"JNANODAYA EDUCATIONAL ACADEMY
C/O M.V.CHOWDARY,
LAXMIDEVIPALLY,
KOTHAGUDEM",MANAGEMENT,PG,South-Central,Telangana,KHAMMAM,KOTHAGUDEM,Unaided - Private,N,"N",2
2012-2013,1-716069653,VEERMATA JIJAU WOMEN'S ENGGINEERING COLLEGE,"GUTT NO-59/P
SHARNAPUR,
AURANGABAD",ENGINEERING AND TECHNOLOGY,UG,Western,Maharashtra,AURANGABAD,AURANGABAD,Unaided - Private,Y,"N",3
2012-2013,1-715997132,FATHIMA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,"RAMARAJUPALLI,
PULIVENDALA ROAD,",MANAGEMENT,PG,South-Central,Andhra Pradesh,YSR DISTRICT,KADAPA,Unaided - Private,N,"Y",4
2012-2013,1-715997132,FATHIMA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,"RAMARAJUPALLI,
PULIVENDALA ROAD,",ENGINEERING AND TECHNOLOGY,UG,South-Central,Andhra Pradesh,YSR DISTRICT,KADAPA,Unaided - Private,N,"Y",5
2012-2013,1-697972571,SRI RAGHAVENDRA INSTITUTE OF SCIENCES ( MCA COURSES ),"UNDI ROAD
NARASIMHAPURAM
BHIMAVARAM
PIN: 534202
WEST GODAVARI DISTRICT
ANDHRA PRADESH",MANAGEMENT,PG,South-Central,Andhra Pradesh,WEST GODAVARI,BHIMAVARAM,Unaided - Private,N,"N",6
2012-2013,1-697972571,SRI RAGHAVENDRA INSTITUTE OF SCIENCES ( MCA COURSES ),"UNDI ROAD
NARASIMHAPURAM
BHIMAVARAM
PIN: 534202
WEST GODAVARI DISTRICT
ANDHRA PRADESH",MCA,PG,South-Central,Andhra Pradesh,WEST GODAVARI,BHIMAVARAM,Unaided - Private,N,"N",7
2012-2013,1-755513185,MOTHER TERESA P.G. COLLEGE,"NARAPALLY MAIN ROAD,
CHOWDARYGUDA(V),
GHATKESAR(M),
RANGA REDDY(D)
ANDHRA PRADESH
500088",MCA,PG,South-Central,Telangana,RANGAREDDI,HYDERABAD,Unaided - Private,N,"N",8
2012-2013,1-798961932,DVR PG INSTITUTE OF MANAGEMENT STUDIES,"KASHIPUR (VILLAGE)
SANGAREDDY MANDAL
MEDAK DIST",MANAGEMENT,PG,South-Central,Telangana,MEDAK,KASHIPUR,Unaided - Private,N,"N",9
2012-2013,1-802283064,MNR COLLEGE OF ARCHITECTURE,"REDDY COLONY, CHANDANAGAR, ASHOKNAGAR, R.C.PURAM",ARCHITECTURE AND TOWN PLANNING,UG,South-Central,Telangana,RANGAREDDI,HYDERABAD,Unaided - Private,N,"N",10
2012-2013,1-804786312,ST. MARY'S COLLEGE FOR PG COURSES (MCA),"SARPAVARAM,KAKINADA",MCA,PG,South-Central,Andhra Pradesh,EAST GODAVARI,KAKINADA,Unaided - Private,N,"Y",11
2012-2013,1-804786312,ST. MARY'S COLLEGE FOR PG COURSES (MCA),"SARPAVARAM,KAKINADA",MANAGEMENT,PG,South-Central,Andhra Pradesh,EAST GODAVARI,KAKINADA,Unaided - Private,N,"Y",12
2012-2013,1-687459721,AITAM SCHOOL OF COMPUTER SCIENCES AND MANAGEMENT,"K.KOTTURU (VILL)
TEKKALI - 532 201
SRIKAKULAM (DIST)
ANDHRA PRADESH",MCA,PG,South-Central,Andhra Pradesh,SRIKAKULAM,TEKKALI,Unaided - Private,N,"N",13
2012-2013,1-687459721,AITAM SCHOOL OF COMPUTER SCIENCES AND MANAGEMENT,"K.KOTTURU (VILL)
TEKKALI - 532 201
SRIKAKULAM (DIST)
ANDHRA PRADESH",MANAGEMENT,PG,South-Central,Andhra Pradesh,SRIKAKULAM,TEKKALI,Unaided - Private,N,"N",14
2012-2013,1-688588771,KOTTAM INSTITUTE OF ADVANCED STUDIES,"KONDAIR (VIL),
ITIKYAL (M),
MAHABUBNAGAR DT.
ANDHRA PRADESH
509125",MANAGEMENT,PG,South-Central,Telangana,MAHABUBNAGAR,KONDAIR,Unaided - Private,N,"N",15
2012-2013,1-688588771,KOTTAM INSTITUTE OF ADVANCED STUDIES,"KONDAIR (VIL),
ITIKYAL (M),
MAHABUBNAGAR DT.
ANDHRA PRADESH
509125",MCA,PG,South-Central,Telangana,MAHABUBNAGAR,KONDAIR,Unaided - Private,N,"N",16
2012-2013,1-756653902,KOTTAM INSTITUTE OF PG STUDIES,"KOTTAM INSTITUTE OF PG STUDIES
KONDAIR VILLAGE
ITIKYALA MANDAL
MAHABOOBNAGAR (DIST)
ANDHRAPRADESH
509125",MCA,PG,South-Central,Telangana,MAHABUBNAGAR,MAHABUBNAGAR,Unaided - Private,N,"N",17
2012-2013,1-756653902,KOTTAM INSTITUTE OF PG STUDIES,"KOTTAM INSTITUTE OF PG STUDIES
KONDAIR VILLAGE
ITIKYALA MANDAL
MAHABOOBNAGAR (DIST)
ANDHRAPRADESH
509125",MANAGEMENT,PG,South-Central,Telangana,MAHABUBNAGAR,MAHABUBNAGAR,Unaided - Private,N,"N",18
2012-2013,1-801381339,BEST GROUP OF INSTITUTIONS,"K.N.ROAD,BYE-PASS JUNCTION,TADEPALLI VILLAGE",ENGINEERING AND TECHNOLOGY,UG,South-Central,Andhra Pradesh,WEST GODAVARI,TADEPALLIGUDEM,Unaided - Private,N,"N",19
2012-2013,1-754560021,JVP INSTITUTE OF MULTIMEDIA & MANAGEMENT,"NEAR PHED WATER TANK, SECTOR 17 PRATAP NAGAR, SANGANER JAIPUR(RAJ)",MANAGEMENT,PG,North-West,Rajasthan,JAIPUR,SANGANER,Unaided - Private,N,"N",20
2012-2013,1-755831384,A K R G COLLEGE [DEGREE & PG COURSES],NALLAJERLA,MANAGEMENT,PG,South-Central,Andhra Pradesh,WEST GODAVARI,NALLAJERLA,Unaided - Private,N,"N",21
2012-2013,1-752055553,ST.ANTHONY'S P.G. COLLEGE- MCA,"MARRIPALLYGUDA,
GHATKESAR 
RANGA REDDY DIST",MCA,PG,South-Central,Telangana,RANGAREDDI,GHATKESAR,Unaided - Private,N,"Y",22
2012-2013,1-756280214,SWARUP COLLEGE OF MANAGEMENT AND TECHNOLOGY (SCMT),"VILLAGE NIMORIA, TEHSIL CHAKSU",MANAGEMENT,PG,North-West,Rajasthan,JAIPUR,JAIPUR,Unaided - Private,N,"N",23
2012-2013,1-686440041,NIMRA ONGOLE INSTITUTE OF TECHNOLOGY,"YEDUGUNDLAPADU,
ONGOLE- 523262, PRAKASAM DT. AP",ENGINEERING AND TECHNOLOGY,UG,South-Central,Andhra Pradesh,PRAKASAM,ONGOLE,Unaided - Private,N,"Y",24
2012-2013,1-799103032,DVR PG INSTITUTE OF COMPUTER APPLICATIONS,"KASHIPUR(VILLAGE)
SANGAREDDY MANDAL
MEDAK DIST",MCA,PG,South-Central,Telangana,MEDAK,KASHIPUR,Unaided - Private,N,"N",25
2012-2013,1-755530062,ST. FRANCIS PG (MCA) COLLEGE,"H-NO. 2-62/1,
GAGILLAPUR (V),
QUTHUBULLAPUR (M),
RANGA REDDY (DIST.).",MCA,PG,South-Central,Telangana,RANGAREDDI,GAGILLAPUR,Unaided - Private,N,"Y",26
2012-2013,1-755530062,ST. FRANCIS PG (MCA) COLLEGE,"H-NO. 2-62/1,
GAGILLAPUR (V),
QUTHUBULLAPUR (M),
RANGA REDDY (DIST.).",MANAGEMENT,PG,South-Central,Telangana,RANGAREDDI,GAGILLAPUR,Unaided - Private,N,"Y",27
2012-2013,1-795947452,SANA INSTITUTE OF MANAGEMENT,"SY.NO.260/A
CHEMUDUGUNTA
VEKATACHALAM MANDAL",MANAGEMENT,PG,South-Central,Andhra Pradesh,NELLORE,VENKATACHALAM,Unaided - Private,N,"Y",28
2012-2013,1-801381339,BEST GROUP OF INSTITUTIONS,"K.N.ROAD,BYE-PASS JUNCTION,TADEPALLI VILLAGE",MANAGEMENT,PG,South-Central,Andhra Pradesh,WEST GODAVARI,TADEPALLIGUDEM,Unaided - Private,N,"N",29
2012-2013,1-820170582,"LE MAGNUS SCHOOL OF MANAGEMENT, HYDERABAD","PLOT NO.4-102,SUCHITRA CENTER, 
 NH-7, MEDCHAL ROAD,",MANAGEMENT,PG,South-Central,Telangana,HYDERABAD,JEEDIMETLA VILLAGE,Unaided - Private,N,"N",30
2012-2013,1-753458643,HARSHAVARDHANA P.G. COLLEGE OF COMPUTER SCIENCE,"AREPALLI ROAD
PONNAPALLI
CHERUKUPALLI (MD.)
GUNTUR (DT.)
ANDHRA PRADESH",MCA,PG,South-Central,Andhra Pradesh,GUNTUR,CHERUKUPALLI,Unaided - Private,N,"N",31
2012-2013,1-697145514,TRINITY P.G COLLEGE,"MALLEMADUGU,YELLANDU ROAD,KHAMMAM",MCA,PG,South-Central,Telangana,KHAMMAM,KHAMMAM,Unaided - Private,N,"Y",32
2012-2013,1-698972101,DEEPSHIKHA INSTITUTE OF MANAGEMENT STUDIES,"ISI 17,INSTITUTIONAL AREA
SITAPURA, JAIPUR",MANAGEMENT,PG,North-West,Rajasthan,JAIPUR,JAIPUR,Unaided - Private,N,"N",33
2012-2013,1-705097842,MALLA REDDY MANAGEMENT COLLEGE FOR WOMEN,"MAISAMMAGUDA, 
DHULAPALLY ( POST  VIA HAKIMPET ) GUNDLAPOCHAMPALLY
MEDCHAL   MANDAL
RANGA REDY  DIST
SECUNDERABAD - 500 014",MANAGEMENT,PG,South-Central,Telangana,RANGAREDDI,SECUNDERABAD,Unaided - Private,Y,"N",34
2012-2013,1-699200051,TALASILA COLLEGE OF MANAGEMENT AND INFORMATION TECHNOLOGY,K.S.P ROAD,MANAGEMENT,PG,South-Central,Telangana,KHAMMAM,PALVONCHA,Unaided - Private,N,"N",35
2012-2013,1-699200051,TALASILA COLLEGE OF MANAGEMENT AND INFORMATION TECHNOLOGY,K.S.P ROAD,MCA,PG,South-Central,Telangana,KHAMMAM,PALVONCHA,Unaided - Private,N,"N",36
2012-2013,1-731034292,DCRM PG COLLEGE (MCA),"GANGAVARAM ROAD
INKOLLU -523 167
PRAKASAM DISTRICT 
ANDHRA PRADESH",MCA,PG,South-Central,Andhra Pradesh,PRAKASAM,INKOLLU,Unaided - Private,N,"N",37
2012-2013,1-778290743,ADITYA GROUP OF INSTITUTIONS,"KOTHAPET VILLAGE AND  GRAMPANCHYAT WARANGAL DISTRICT,ANDHRAPRADESH",ENGINEERING AND TECHNOLOGY,UG,South-Central,Telangana,WARANGAL,WARANGAL,Unaided - Private,N,"N",38
2012-2013,1-778290743,ADITYA GROUP OF INSTITUTIONS,"KOTHAPET VILLAGE AND  GRAMPANCHYAT WARANGAL DISTRICT,ANDHRAPRADESH",MCA,PG,South-Central,Telangana,WARANGAL,WARANGAL,Unaided - Private,N,"N",39
2012-2013,1-778290743,ADITYA GROUP OF INSTITUTIONS,"KOTHAPET VILLAGE AND  GRAMPANCHYAT WARANGAL DISTRICT,ANDHRAPRADESH",MANAGEMENT,PG,South-Central,Telangana,WARANGAL,WARANGAL,Unaided - Private,N,"N",40
2012-2013,1-721428772,POORNIMA SCHOOL OF BUSINESS MANAGEMENT,"ISI-6, RIICO INSTITUTINOAL AREA
SITAPURA, GONER ROAD",MANAGEMENT,PG,North-West,Rajasthan,JAIPUR,JAIPUR,Unaided - Private,N,"N",41
2012-2013,1-724642792,C M SCHOOL OF BUSINESS MANAGEMENT,"GUNDLAPOCHAMPALLY (V),
MEDCHAL (M)",MANAGEMENT,PG,South-Central,Telangana,RANGAREDDI,SECUNDERABAD,Unaided - Private,N,"N",42
2012-2013,1-723716792,RAJAHMUNDRY ENGINEERING COLLEGE,"PALACHARLA ROAD, RAJA NAGAR MANDAL",ENGINEERING AND TECHNOLOGY,UG,South-Central,Andhra Pradesh,EAST GODAVARI,RAJAHMUNDRY,Unaided - Private,N,"N",43
2012-2013,1-725071162,"MCA INSTITUTION, ACHARYA INSTITUTE OF TECHNOLOGY","SOLDEVANAHALLI HESARGHATTA MAIN ROAD, BANGALORE -560090",MCA,PG,South-West,Karnataka,BANGALORE URBAN,BANGALORE,Unaided - Private,N,"N",44
2012-2013,1-788507917,VINUKONDA P.G COLLEGE,"VASAVI NAGAR
KANAMARLAPUDI VILLAGE
SAVALYAPURAM MANDAL
VINUKONDA-522646
GUNTUR (DISTRICT)
ANDHRA PRADESH STATE",MCA,PG,South-Central,Andhra Pradesh,GUNTUR,VINUKONDA,Unaided - Private,N,"N",45
2012-2013,1-736049902,SITHA INSTITUTE OF PHARMACEUTICAL SCIENCES,"NIJAMPET ROAD, RAJIV GANDHI NAGAR, BACHUPALLI, HYDERABAD.",PHARMACY,UG,South-Central,Telangana,RANGAREDDI,HYDERABAD,Unaided - Private,N,"N",46
2012-2013,1-736049902,SITHA INSTITUTE OF PHARMACEUTICAL SCIENCES,"NIJAMPET ROAD, RAJIV GANDHI NAGAR, BACHUPALLI, HYDERABAD.",PHARMACY,PG,South-Central,Telangana,RANGAREDDI,HYDERABAD,Unaided - Private,N,"N",47
2012-2013,1-769290852,ROSORY COLLEGE OF PHARMACY,"YELLAPUR (V), HASANPARTHY (M),
WARANGAL (DIST) - 506371-A.P.",PHARMACY,UG,South-Central,Telangana,WARANGAL,WARANGAL,Unaided - Private,N,"Y",48
2012-2013,1-764457015,ASIAN SCHOOL OF BUSINESS MANAGEMENT,"SHIKSHA VIHAR
JAGGANGUDA
SHAMIRPET MANDAL
HYDERABAD - 500078",MANAGEMENT,PG,South-Central,Telangana,RANGAREDDI,HYDERABAD,Unaided - Private,N,"N",49
2012-2013,1-729049092,"SHEKHAWATI GIRLS ENGINEERING COLLEGE, DUNDLOD","NEAR DUNDLOD RAILWAY PHATAK, P.O. DUNDLOD.

VILLAGE-DUNDLOD, TEHSIL-NAWALGARH, DISTRICT- JHUNJHUNU

PIN-333 702, RAJASTHAN",ENGINEERING AND TECHNOLOGY,UG,North-West,Rajasthan,JHUNJHUNU,DUNDLOD,Unaided - Private,Y,"N",50
2012-2013,1-728911392,NSHM SCHOOL OF HOTEL MANAGEMENT,"ARRAH, SHIBTALA,
MUCHIPARA
DURGAPUR",HOTEL MANAGEMENT AND CATERING,DIPLOMA,Eastern,West Bengal,BARDHAMAN,DURGAPUR,Unaided - Private,N,"N",51
2012-2013,1-731205992,JAYAMUKHI INSTITUTE OF TECHNOLOGICAL SCIENCES(MCA),"MOQDUMPURAM(VILL),
CHENNARAOPET(MDL),
NARSAMPET,
WARANGAL",MCA,PG,South-Central,Telangana,WARANGAL,WARANGAL,Unaided - Private,N,"N",52
2012-2013,1-730519353,CEREBRAL INSTITUTE OF MANAGEMENT & TECHNOLOGY,"CEREBRAL INSTITUTE OF MANAGEMENT AND TECHNOLOGY
CHANDRASEL
DISTRICT- KOTA
STATE- (RAJASTHAN)",MANAGEMENT,PG,North-West,Rajasthan,KOTA,KOTA,Unaided - Private,N,"N",53
2012-2013,1-691574381,"MBA INSTITUTION, ACHARYA INSTITUTE OF TECHNOLOGY","SOLDEVANAHALLI, HESARAGHATTA MAIN ROAD,BANGALORE -560090",MANAGEMENT,PG,South-West,Karnataka,BANGALORE URBAN,BANGALORE,Unaided - Private,N,"N",54
2012-2013,1-692848191,KAKATIYA INSTITUTE OF MANAGEMENT STUDIES (MCA INSTITUTION),"HNO. 3-205/4/A, 
NEAR PETROL PUMP, 
KOTHAPALLY,
KARIMNAGAR
505 451",MCA,PG,South-Central,Telangana,KARIMNAGAR,KARIMNAGAR,Unaided - Private,N,"N",55
2012-2013,1-735740323,SHASTRI INSTITUTE OF LEARNING,"TONK ROAD 
BAMBALA
NEAR PRATAP NAGAR
RAMSINGHPURABAS
SANGANER",MANAGEMENT,PG,North-West,Rajasthan,JAIPUR,JAIPUR,Unaided - Private,N,"N",56
2012-2013,1-735637354,DEEPSHIKHA COLLEGE OF TECHNICAL EDUCATION,"SECTOR-3, VARUN PATH
MANSAROVER,JAIPUR",MANAGEMENT,PG,North-West,Rajasthan,JAIPUR,JAIPUR,Unaided - Private,N,"N",57
2012-2013,1-780961442,SOBHASARIA TECHNICAL INSTITUTE OF EDUCATION & RESEARCH,"NH-11, GOKULPURA, SIKAR",MANAGEMENT,PG,North-West,Rajasthan,SIKAR,SIKAR,Unaided - Private,N,"N",58
2012-2013,1-784764724,"ARAVALI INSTITUTE OF MANAGEMENT STUDIES, UDAIPUR","ARAVALI INSTITUTE OF MANAGEMENT STUDIES,
EKLINGPURA, JHAMARKOTDA ROAD
UDAIPUR ( RAJ.)-313003",MANAGEMENT,PG,North-West,Rajasthan,UDAIPUR,UDAIPUR,Unaided - Private,N,"N",59
2012-2013,1-778542944,JAGAN'S INSTITUTE OF SCIENCE AND TECHNOLOGY,"5TH KM, MUTHUKUR ROAD
VAVILETIPADU
DHANALAKSHMIPURAM
NELLORE",MCA,PG,South-Central,Andhra Pradesh,NELLORE,NELLORE,Unaided - Private,N,"N",60
2012-2013,1-722664103,JIBRAN QUADRI INSTITUTE OF MANAGEMENT SCIENCES AND RESEARCH,GUT NO. 189/P OHAR JATWADA ROAD,MANAGEMENT,PG,Western,Maharashtra,AURANGABAD,AURANGABAD,Unaided - Private,N,"Y",61
2012-2013,1-702367914,BADARI INSTITUTE OF TECHNOLOGY AND SCIENCES FOR WOMEN,"S NO 56 MAIN ROAD
SARPAVARAM",ENGINEERING AND TECHNOLOGY,UG,South-Central,Andhra Pradesh,EAST GODAVARI,KAKINADA,Unaided - Private,Y,"N",62
2012-2013,1-770613852,ST. MARY'S PG( MCA) COLLEGE,"6-2-7/1-1   HYDERABAD ROAD

JANGAON - 506167

WARANGAL DIST 
 
ANDHRA PRADESH",MCA,PG,South-Central,Telangana,WARANGAL,JANGAON,Unaided - Private,N,"Y",63
2012-2013,1-770613852,ST. MARY'S PG( MCA) COLLEGE,"6-2-7/1-1   HYDERABAD ROAD

JANGAON - 506167

WARANGAL DIST 
 
ANDHRA PRADESH",MANAGEMENT,PG,South-Central,Telangana,WARANGAL,JANGAON,Unaided - Private,N,"Y",64
2012-2013,1-739818622,MAHBOOBIA PANJETAN P.G. COLLEGE(MCA),"#7-186,JANPAK,GORREKUNTA(V),GEESUGONDA(M), WARANGAL",MANAGEMENT,PG,South-Central,Telangana,WARANGAL,WARANGAL,Unaided - Private,N,"Y",65
2012-2013,1-739818622,MAHBOOBIA PANJETAN P.G. COLLEGE(MCA),"#7-186,JANPAK,GORREKUNTA(V),GEESUGONDA(M), WARANGAL",MCA,PG,South-Central,Telangana,WARANGAL,WARANGAL,Unaided - Private,N,"Y",66
2012-2013,1-693703461,NIBEDITA INSTITUTE OF MANAGEMENT AND TECHNOLOGY,"AT-BAGMARA, P.O-D/PARASGPUR,P.S-JALANGI,DIST-MURSHIDABAD,WEST BENGAL",ENGINEERING AND TECHNOLOGY,UG,Eastern,West Bengal,MURSHIDABAD,BAGMARA,Unaided - Private,N,"N",67
2012-2013,1-740574762,PRADNYAA SCHOOL OF LEADERSHIP DEVELOPMENT,"S. N0. 1850/51, AT. DAREWADI, POST.GARADE, TAL. PURANDAR, DIST. PUNE",MANAGEMENT,PG,Western,Maharashtra,PUNE,PUNE,Unaided - Private,N,"N",68
2012-2013,1-736941512,SIDDHARTH COLLEGE OF PHARMACY,"655, SALIGRAMPURA SCHEME, BILWA, TONK ROAD, JAIPUR",PHARMACY,UG,North-West,Rajasthan,JAIPUR,JAIPUR,Unaided - Private,N,"N",69
2012-2013,1-738594813,CORDIA INSTITUTE OF HOTEL MANAGEMENT,"VPO- SANGHOL, TEHSIL -KHAMANOO
DISTT - FATEHGARH SAHIB PUNJAB",HOTEL MANAGEMENT AND CATERING,UG,North-West,Punjab,FATEHGARH SAHIB,SANGHOL,Unaided - Private,N,"N",70
2012-2013,1-785743281,FARIDABAD INSTITUTE OF TECHNOLOGY,"SECTOR-43, SURAJKUND BADKHAL ROAD, FARIDABAD",MCA,PG,North-West,Haryana,FARIDABAD,FARIDABAD,Unaided - Private,N,"N",71
2012-2013,1-796852227,MITHRA INSTITUTE OF MANAGEMENT,"CHINARAVUPALLI VILLAGE;
ETCHERLA POST;
SRIKAKULAM DIST;
PIN : 532 410.
ANDHRA PRADESH.",MANAGEMENT,PG,South-Central,Andhra Pradesh,SRIKAKULAM,SRIKAKULAM,Unaided - Private,N,"N",72
2012-2013,1-714115962,"ANANTAPUR INSTITUTE OF MANAGEMENT AND SCIENCES (AIMS), MCA COURSE","NH-7, BANGALORE HIGH WAY, RUDRAMPETA BY-PASS, 
KAKKALA PALLI CROSS, ENGINEERING COLLEGE POST, ANANTAPUR.",MCA,PG,South-Central,Andhra Pradesh,ANANTAPUR,ANANTAPUR,Unaided - Private,N,"N",73
2012-2013,1-714116106,"ANANTAPUR INSTITUTE OF MANAGEMENT AND SCIENCES (AIMS), MBA COURSE","NH-7, BANGALORE HIGH WAY, RUDRAMPETA BY-PASS, KAKKALAPALLI CORSS, ENGINEERING COLLEGE POST, 
ANANTAPUR. (A.P)",MANAGEMENT,PG,South-Central,Andhra Pradesh,ANANTAPUR,ANANTAPUR,Unaided - Private,N,"N",74
2012-2013,1-714455452,PEARL ACADEMY OF FASHION MANAGEMENT,"SP-38 A, RIICO INDUSTRIAL AREA, 
KUKAS, 
N.H. 8, 
JAIPUR-302028",MANAGEMENT,PG,North-West,Rajasthan,JAIPUR,JAIPUR,Unaided - Private,N,"N",75
2012-2013,1-714962022,HOLY FAITH P.G. COLLEGE,"NARAPALLY MAIN ROAD
CHOWDARYGUDA(V)
GHATKESAR(M)
RANGA REDDY(D)
500088",MCA,PG,South-Central,Telangana,RANGAREDDI,HYDERABAD,Unaided - Private,N,"N",76
2012-2013,1-820687571,SARADA COLLAGE OF PHARMACEUTICAL SCIENCES,KONDAKAVURU(VILLAGE) GURAVAIPALEM (POST)NARSARAOPET (MANDALAM) GUNTUR (DISRICT) ANDHRA PRADESH,PHARMACY,DIPLOMA,South-Central,Andhra Pradesh,GUNTUR,NARSARAOPET,Unaided - Private,N,"N",77
2012-2013,1-760651533,RAVINDRA & RAJENDRA PG(MCA) COLLEGE,"RAVINDRA &     RAJENDRA PG(MCA) COLLEGE
GIDIJALA (VILLAGE),
ANANDAPURAM (MANDAL),
PENDURTY(SO),
VISAKHAPATNAM-531173",MCA,PG,South-Central,Andhra Pradesh,VISHAKHAPATNAM,VISAKHAPATNAM,Unaided - Private,N,"N",78
2012-2013,1-748173352,LAQSHYA COLLEGE OF COMPUTER STUDIES,"TANIKELLA(V),
KONIJERLA(M),
KHAMMAM(DIST),
PIN-507305",MCA,PG,South-Central,Telangana,KHAMMAM,KHAMMAM,Unaided - Private,N,"N",79
2012-2013,1-748173352,LAQSHYA COLLEGE OF COMPUTER STUDIES,"TANIKELLA(V),
KONIJERLA(M),
KHAMMAM(DIST),
PIN-507305",MANAGEMENT,PG,South-Central,Telangana,KHAMMAM,KHAMMAM,Unaided - Private,N,"N",80
2012-2013,1-758742902,C.V.L.N.R. INSTITUTE OF SCIENCE & TECHNOLOGY,"SPANDANA NAGAR,
BALLERY ROAD,
ANANTAPUR
ANDHRA PRADESH",MCA,PG,South-Central,Andhra Pradesh,ANANTAPUR,ANANTAPUR,Unaided - Private,N,"N",81
2012-2013,1-749270622,EMINENT INSTITUTE OF MGT.& TECH. FOR WOMEN,"VILL-SODA, (DIGGI) JAIPUR ROAD,TEH.MALPURA, DISTT. TONK, RAJASTHAN 304504",MANAGEMENT,PG,North-West,Rajasthan,TONK,DIGGI,Unaided - Private,Y,"N",82
2012-2013,1-852938321,MALLLA REDDY INSTITUTE OF MANAGEMENT SCIENCES,"MAISAMMAGGUDA, DHULLAPALLY",MANAGEMENT,PG,South-Central,Telangana,RANGAREDDI,SECUNDERABAD,Unaided - Private,N,"N",83
2012-2013,1-740908854,PADALA RAMA REDDI COLLEGE OF COMPUTER SCIENCES,"SY. NO. 478,483,485, GANDIPET ROAD, MANCHIREVULA(V)
RAJENDAR NAGAR(M)",MCA,PG,South-Central,Telangana,HYDERABAD,HYDEREBAD,Unaided - Private,N,"N",84
2012-2013,1-742654933,C.V.L.N.R. INSTITUTE OF SCIENCE & TECHNOLOGY,"SPANDANA NAGAR,
BALLERY ROAD,
ANANTAPUR - 515004,
ANDHRA PRADESH.",MANAGEMENT,PG,South-Central,Andhra Pradesh,ANANTAPUR,ANANTAPUR,Unaided - Private,N,"N",85
2012-2013,1-744345384,NARSIMHAREDDY P.G. COLLEGE,"SY.NO:518/1, 
MAISAMMAGUDA(V),
DHULLAPALLE,
MEDCHAL MANDAL,
RANGAREDDY DISTRICT",MANAGEMENT,PG,South-Central,Telangana,RANGAREDDI,SECUNDERABAD,Unaided - Private,N,"N",86
2012-2013,1-747480994,MUSUNURI VENKATA RAMA RAO INSTITUTE OF BUSINESS MANAGEMENT,SESHADRI RAO KNOWLEDGE VILLAGE,MANAGEMENT,PG,South-Central,Andhra Pradesh,KRISHNA,GUDLAVALLERU,Unaided - Private,N,"N",87
2012-2013,1-747687012,SRI GAAYATHRI COLLEGE OF MANAGEMENT SCIENCES,"OPP : GOVT. I.T.I.
MULUGU X ROADS
HANAMKONDA
WARANGAL",MCA,PG,South-Central,Telangana,WARANGAL,"HANAMKONDA , WARANGAL",Unaided - Private,N,"N",88
2013-2014,1-1361707575,JOGINPALLY M N RAO WOMENS ENGINEERING COLLEGE,"AMDAPUR X ROAD, YENKAPALLY(V), HIMAYATH NAGAR(POST),MOINABAD(M), ANDHRA PRADESH(STATE),SOUTH INDIA.",ENGINEERING AND TECHNOLOGY,UG,South-Central,Telangana,RANGAREDDI,MOINABAD,Unaided - Private,Y,"N",89
2013-2014,1-1357740850,SARDAR PATEL COLLEGE OF PHARMACY FOR WOMEN,"NR. PARTH TOWNSHIP,
VIDYANAGAR - VADTAL ROAD,",PHARMACY,UG,Central,Gujarat,ANAND,BAKROL,Unaided - Private,Y,"N",90
2013-2014,1-1364623836,HOLY JESUS AND MARY P.G COLLEGE OF COMPUTER SCIENCES,"12-13-1275, ""JEHOVAH JIREH"" , 
TARNAKA, 
SECUNDERABAD",MCA,PG,South-Central,Telangana,HYDERABAD,SECUNDERABAD,Unaided - Private,N,"Y",91
2013-2014,1-1364097292,DURGA PRASAD BALJEET SINGH COLLEGE OF COMPUTER APPLICATION,"DURGA PRASAD BALJEET SINGH COLLEGE OF COMPUTER APPLICATION,
ANOOPSHAHR-202390
DISTT. BULANDSHAHR
(UP)",MCA,PG,Northern,Uttar Pradesh,BULANDSHAHAR,ANOOPSHAHR,Unaided - Private,N,"N",92
2013-2014,1-1358391882,MOHAMMADIYA INSTITUTE OF COMPUTER TECHNOLOGY,"BARUGUDEM, AREMPULA,WARANGAL HIGHWAY 
KHAMMAM RURAL 507163",MCA,PG,South-Central,Telangana,KHAMMAM,KHAMMAM,Unaided - Private,N,"Y",93
2013-2014,1-1358391882,MOHAMMADIYA INSTITUTE OF COMPUTER TECHNOLOGY,"BARUGUDEM, AREMPULA,WARANGAL HIGHWAY 
KHAMMAM RURAL 507163",MANAGEMENT,PG,South-Central,Telangana,KHAMMAM,KHAMMAM,Unaided - Private,N,"Y",94
