,state_code,state_name,level,dist_code,name_of_city,population_total,population_male,population_female,0-6_population_total,0-6_population_male,0-6_population_female,literates_total,literates_male,literates_female,sex_ratio,child_sex_ratio,effective_literacy_rate_total,effective_literacy_rate_male,effective_literacy_rate_female,location
391,28,ANDHRA PRADESH,71,7,Mahbubnagar ,157902,79423,78479,16791,8761,8030,119626,64187,55439,988,917,84.77,90.84,78.69,"16.7375089,78.0081221"
392,28,ANDHRA PRADESH,71,8,Suryapet ,105250,52138,53112,9388,4822,4566,81366,43143,38223,1019,947,84.88,91.18,78.74,"17.1353148,79.6333674"
393,28,ANDHRA PRADESH,71,8,Nalgonda ,135163,67749,67414,13562,6924,6638,105885,56100,49785,995,959,87.08,92.23,81.92,"17.0575707,79.2620294"
394,28,ANDHRA PRADESH,71,8,Miryalaguda ,103855,52048,51807,10435,5357,5078,76693,41697,34996,995,948,82.09,89.3,74.89,"16.8753106,79.5659633"
395,28,ANDHRA PRADESH,71,9,Warangal ,620116,310400,309716,55392,28434,26958,475247,258111,217136,998,948,84.16,91.54,76.79,"17.9689008,79.5940544"
396,28,ANDHRA PRADESH,71,10,Khammam ,184252,91019,93233,17131,8876,8255,136532,71580,64952,1024,930,81.7,87.14,76.43,"17.2472528,80.1514447"
397,28,ANDHRA PRADESH,71,11,Srikakulam ,126003,62583,63420,11001,5686,5315,97904,52029,45875,1013,935,85.13,91.44,78.95,"18.4285005,84.0167423"
398,28,ANDHRA PRADESH,71,12,Vizianagaram ,227533,111596,115937,20487,10495,9992,169461,89155,80306,1039,952,81.85,88.18,75.8,"18.1066576,83.3955506"
399,28,ANDHRA PRADESH,7,13,Visakhapatnam,1730320,875199,855121,158924,81119,77805,1298896,698959,599937,977,959,82.66,88.02,77.18,"17.6868,83.2185"
400,28,ANDHRA PRADESH,71,14,Rajahmundry ,343903,169786,174117,29883,15152,14731,264653,136288,128365,1026,972,84.28,88.14,80.54,"17.0005383,81.8040345"
401,28,ANDHRA PRADESH,71,14,Kakinada ,312255,152596,159659,27181,13777,13404,231559,117829,113730,1046,973,81.23,84.88,77.76,"16.9890648,82.2474648"
402,28,ANDHRA PRADESH,71,15,Tadepalligudem ,103577,51176,52401,9048,4662,4386,78557,40283,38274,1024,941,83.1,86.6,79.71,"16.8138415,81.521241"
403,28,ANDHRA PRADESH,71,15,Eluru ,214414,105707,108707,18125,9048,9077,145516,74521,70995,1028,1003,74.13,77.1,71.26,"16.7106604,81.0952431"
404,28,ANDHRA PRADESH,71,15,Bhimavaram ,142280,70066,72214,12157,6149,6008,108535,55523,53012,1031,977,83.41,86.87,80.07,"16.544893,81.521241"
405,28,ANDHRA PRADESH,71,16,Vijayawada ,1048240,524918,523322,92848,47582,45266,789038,411677,377361,997,951,82.59,86.24,78.94,"16.5061743,80.6480153"
406,28,ANDHRA PRADESH,7,16,Gudivada ,118289,58941,59348,9952,5081,4871,89009,46529,42480,1007,959,82.16,86.39,77.98,"16.4410255,80.9926327"
407,28,ANDHRA PRADESH,7,16,Machilipatnam ,170008,83561,86447,13778,7076,6702,130173,66337,63836,1035,947,83.32,86.73,80.05,"16.1905457,81.1361543"
408,28,ANDHRA PRADESH,71,17,Narasaraopet ,116329,58898,57431,10445,5390,5055,84123,45796,38327,975,938,79.45,85.59,73.18,"16.2353506,80.0479039"
409,28,ANDHRA PRADESH,71,17,Guntur ,651382,323151,328231,59486,30307,29179,480068,252677,227391,1016,963,81.11,86.28,76.04,"16.3066525,80.4365402"
410,28,ANDHRA PRADESH,7,17,Chilakaluripet ,101550,50201,51349,9525,4916,4609,66336,36472,29864,1023,938,72.08,80.54,63.89,"16.0924301,80.1623948"
411,28,ANDHRA PRADESH,7,17,Tenali ,164649,81324,83325,13040,6630,6410,125275,64968,60307,1025,967,82.63,86.98,78.41,"16.2395313,80.6493396"
412,28,ANDHRA PRADESH,71,18,Ongole ,202826,101728,101098,18673,9651,9022,153888,82322,71566,994,935,83.57,89.41,77.72,"15.5057232,80.049922"
413,28,ANDHRA PRADESH,71,19,Nellore ,505258,257043,248215,42041,21701,20340,387192,205988,181204,966,937,83.59,87.53,79.52,"14.4425987,79.986456"
414,28,ANDHRA PRADESH,71,20,Proddatur ,162816,81368,81448,15516,7999,7517,115011,63111,51900,1001,940,78.08,86.02,70.2,"14.7491864,78.5531577"
415,28,ANDHRA PRADESH,71,20,Kadapa ,341823,171797,170026,36299,18876,17423,242540,131847,110693,990,923,79.38,86.22,72.54,"14.4673541,78.8241339"
416,28,ANDHRA PRADESH,71,21,Kurnool ,424920,211875,213045,44264,22875,21389,297490,158744,138746,1006,935,78.15,83.99,72.39,"15.8281257,78.0372792"
417,28,ANDHRA PRADESH,71,21,Adoni ,166537,82743,83794,18406,9355,9051,101292,56203,45089,1013,968,68.38,76.58,60.33,"15.6322227,77.2728368"
418,28,ANDHRA PRADESH,71,21,Nandyal ,200746,100770,99976,20588,10723,9865,138525,75749,62776,992,920,76.89,84.12,69.67,"15.4785694,78.4830934"
419,28,ANDHRA PRADESH,71,22,Anantapur ,262340,131506,130834,23630,12409,11221,195452,105452,90000,995,904,81.88,88.54,75.24,"14.6818877,77.6005911"
420,28,ANDHRA PRADESH,7,22,Guntakal ,126479,62695,63784,12614,6495,6119,86197,47471,38726,1017,942,75.7,84.47,67.16,"15.1674091,77.3736238"
421,28,ANDHRA PRADESH,7,22,Tadpatri ,108249,54027,54222,11325,5813,5512,69948,39781,30167,1004,948,72.17,82.51,61.93,"14.9070274,78.0092703"
422,28,ANDHRA PRADESH,7,22,Dharmavaram ,121992,62186,59806,11963,6441,5522,79037,45025,34012,962,857,71.83,80.77,62.66,"14.4137447,77.7126189"
423,28,ANDHRA PRADESH,7,22,Hindupur ,151835,76625,75210,16309,8263,8046,103538,56177,47361,982,974,76.4,82.18,70.52,"13.8185378,77.4988753"
